order_id,customer_id,product_id,order_date,amount,status
1,47,46,2025-09-08,1699.59,
2,16,10,2025-09-08,1624.16,INVALID
3,9,32,2025-09-08,155.37,INVALID
4,63,10,2025-09-08,1629.32,cancelled
5,16,36,2025-09-08,796.44,INVALID
6,23,30,2025-09-08,1544.6,
7,65,20,2025-09-08,359.22,pending
8,17,37,2025-09-08,1501.93,INVALID
9,21,15,2025-09-08,1643.6,pending
10,56,24,2025-09-08,720.12,INVALID
11,9,12,2025-09-08,168.6,
12,45,43,2025-09-08,-1473.39,
13,45,16,2025-09-08,1148.18,pending
14,24,15,2025-09-08,722.24,INVALID
15,59,1,2025-09-08,541.22,
16,62,7,2025-09-08,1783.25,
17,45,28,,1311.72,completed
18,35,1,2025-09-08,1468.27,returned
19,43,36,2025-09-08,-9.63,returned
20,9,5,2025-09-08,254.21,completed
21,63,38,2025-09-08,1618.54,INVALID
22,7,31,2025-09-08,206.25,cancelled
23,40,23,2025-09-08,1786.6,pending
24,66,4,2025-09-08,-1025.49,cancelled
25,26,50,2025-09-08,1769.36,returned
26,26,6,2025-09-08,517.83,INVALID
27,70,32,2025-09-08,1681.91,INVALID
28,35,22,2025-09-08,969.12,returned
29,27,12,2025-09-08,630.95,completed
30,13,46,2025-09-08,1511.03,INVALID
31,54,9,2025-09-08,1269.22,cancelled
32,9,10,2025-09-08,1752.94,
33,32,14,2025-09-08,972.45,
34,16,45,,1756.84,pending
35,60,47,2025-09-08,729.43,returned
36,42,32,2025-09-08,-247.79,
37,49,47,2025-09-08,35.08,returned
38,68,46,2025-09-08,381.88,INVALID
39,50,37,2025-09-08,1244.66,completed
40,65,41,2025-09-08,1247.2,cancelled
41,14,1,2025-09-08,962.52,completed
42,34,12,2025-09-08,644.01,cancelled
43,25,40,2025-09-08,297.3,
44,43,7,2025-09-08,1336.69,INVALID
45,40,11,2025-09-08,922.64,cancelled
46,32,31,2025-09-08,903.05,pending
47,17,4,2025-09-08,259.64,INVALID
48,37,8,2025-09-08,-15.97,completed
49,17,36,2025-09-08,934.68,cancelled
50,5,16,2025-09-08,1070.62,pending
51,67,23,,1583.8,cancelled
52,41,44,2025-09-08,1122.99,returned
53,19,5,2025-09-08,347.93,
54,61,12,2025-09-08,85.09,pending
55,5,37,2025-09-08,182.06,pending
56,6,24,2025-09-08,738.46,returned
57,33,21,2025-09-08,1267.9,returned
58,68,39,2025-09-08,939.06,completed
59,12,23,2025-09-08,1765.48,returned
60,69,29,2025-09-08,-435.37,pending
61,42,30,2025-09-08,1562.23,cancelled
62,48,2,2025-09-08,-2.91,pending
63,13,2,2025-09-08,1458.22,completed
64,54,12,2025-09-08,75.36,cancelled
65,4,8,2025-09-08,896.87,completed
66,39,20,2025-09-08,1415.7,cancelled
67,28,17,2025-09-08,1144.27,pending
68,67,10,,317.31,INVALID
69,8,8,2025-09-08,768.79,cancelled
70,6,21,2025-09-08,296.72,cancelled
71,36,25,2025-09-08,396.62,
72,40,36,2025-09-08,-683.66,pending
73,50,23,2025-09-08,15.3,
74,40,21,2025-09-08,485.96,completed
75,23,9,2025-09-08,1432.17,cancelled
76,41,19,2025-09-08,1880.66,returned
77,49,46,2025-09-08,888.19,pending
78,29,42,2025-09-08,16.75,INVALID
79,15,21,2025-09-08,263.34,cancelled
80,36,18,2025-09-08,1818.38,pending
81,35,7,2025-09-08,204.99,returned
82,47,21,2025-09-08,1325.74,returned
83,16,40,2025-09-08,1362.75,pending
84,45,20,2025-09-08,-1879.42,cancelled
85,18,49,,1363.02,completed
86,45,11,2025-09-08,120.3,completed
87,2,10,2025-09-08,908.07,cancelled
88,36,18,2025-09-08,748.74,pending
89,10,37,2025-09-08,1177.16,completed
90,65,43,2025-09-08,984.27,completed
91,20,43,2025-09-08,1410.9,pending
92,43,27,2025-09-08,304.0,cancelled
93,25,5,2025-09-08,1979.2,returned
94,3,30,2025-09-08,1753.59,INVALID
95,25,3,2025-09-08,284.66,INVALID
96,58,22,2025-09-08,-1449.81,
97,11,36,2025-09-08,1111.56,cancelled
98,32,14,2025-09-08,224.55,
99,26,32,2025-09-08,1381.31,completed
